USB2G57977_1:101,
624,1.6
625,6.76
626,0.56
627,5.33
628,4.37
629,4.57
630,0.07
631,1.58
632,0.53
633,3.02
634,3.52
635,-2.4
636,0.77
637,1.18
638,0.98
639,-0.59
640,1.69
641,-1.25
642,2.2
643,2.38
644,1.69
645,0.69
646,2.57
647,0.45
648,-1.19
649,2.57
650,2.51
651,0.23
652,0.21
653,-2.26
654,-0.27
655,1.88
656,-1.7
657,-1.49
658,0.62
659,0.45
660,2
661,-0.21
662,-1.92
663,1.43
664,-0.09
665,-0.43
666,1.44
667,0.62
668,-1.47
669,-1.72
670,1.37
671,1.66
672,2.54
673,-0.37
674,-1.66
675,2.55
676,-1.33
677,3.71
678,-0.84
679,2.86
680,0.43
681,0.67
682,1.36
683,-1.01
684,-1.84
685,0.56
686,0.5
687,2.97
688,-1.38
689,2.03
690,1.14
691,-0.42
692,-0.4
693,6.29
694,0.6
695,1.66
696,-3.3
697,-0.2
698,-1.34
699,1.04
700,1.85
701,0.2
702,0.49
703,5.46
704,-0.77
705,-2.47
706,0.77
707,0.18
708,-0.56
709,2.16
710,-1.59
711,3.17
712,3.61
713,2.36
714,0.47
715,0.55
716,2.5
717,0.45
718,-0.52
719,-0.89
720,4
721,2.58
722,1.87
723,0.42
724,0.94
725,0.48
726,2.87
727,-0.19
728,2.06
729,-0.62
730,-1.72
731,0.16
732,-2.11
733,0.13
734,-0.28
735,3.5
736,4.08
737,1.17
738,-0.09
739,2.38
740,-0.36
741,2.15
742,0.78
743,-0.85
744,-0.16
745,3.45
746,1.75
747,-1.21
748,0.67
749,3.61
750,4.61
751,-0.74
752,1.51
753,0.57
754,0.23
755,6.06
756,3.68
757,0.45
758,1.23
759,-1.24
760,1.47
761,0.61
762,0.01
763,1.81
764,-2.61
765,1.24
766,1.08
767,1.05
768,2.66
769,2.67
770,2.59
771,3.34
772,0.73
773,-0.25
774,2.23
775,0.36
776,1.73
777,2.97
778,0.34
779,2.18
780,0.47
781,-4.08
782,-1.42
783,-0.47
784,2.66
785,1.95
786,2.32
787,-1.39
788,-1.05
789,0.19
790,2.53
791,-0.61
792,-1.56
793,2.64
794,0.64
795,-0.18
796,0.09
797,0.03
798,0.98
799,1.86
800,-0.01
801,3.11
802,-0.24
803,1.68
804,1.52
805,1.37
806,0.62
807,-0.49
808,0.66
809,3.92
810,2.11
811,1.55
812,-1.4
813,-0.81
814,-0.78
815,1.77
816,-1.74
817,-3.21
818,1.22
819,1.67
820,1.63
821,-1.36
822,1.29
823,-3.13
824,-1.7
825,2.21
826,3.73
827,2.69
828,-1.6
829,-0.4
830,-0.33
831,-0.99
832,1.84
833,0.6
834,0.25
835,-3.16
836,2.67
837,-5.6
838,-0.94
839,0.64
840,1.68
841,2.37
842,1.33
843,2.61
844,2.51
845,1.61
846,0.03
847,8.45
848,2.23
849,0.78
850,1.13
851,-1.56
852,0.69
853,2.2
854,-0.57
855,0.39
856,2.68
857,2.08
858,-2.09
859,2.66
860,-4.51
861,-0.42
862,0.3
863,1.24
864,2.01
865,-1.75
866,1.18
867,-0.14
868,2.42
869,0.21
870,0.58
871,1.81
872,0.47
873,1.19
874,1.7
875,-0.34
876,0.98
877,0.74
878,-4.95
879,-0.41
880,6.27
881,0.74
882,-2.43
883,-0.33
884,1.81
885,1.06
886,-5.05
887,-0.3
888,-1.11
889,-3.34
890,1.16
891,-2.44
892,-0.25
893,2.01
894,-0.72
895,1.89
896,-0.46
897,0.11
898,-3.31
899,0.26
900,-2.2
901,-2.92
902,1.52
903,-1.55
904,4.51
905,1.22
906,-1.1
907,-1.29
908,2.2
909,0.64
910,1.93
911,-2.31
912,-0.54
913,-2.32
914,-0.44
915,0.58
916,-0.09
917,-0.18
918,0.41
919,-1.29
920,1.35
921,-0.53
922,-1.34
923,3.52
924,0.09
925,4.57
926,0.27
927,-2.43
928,0.6
929,-2.23
930,-1.14
931,-1.34
932,0.28
933,-2.34
934,-0.27
935,-0.06
936,1.47
937,0.49
938,-2.69
939,1.46
940,-0.37
941,1.52
942,-1.93
943,-1.02
944,0.77
945,3.58
946,-1.17
947,1.39
948,6.02
949,3.76
950,-2.48
951,1.46
952,0.89
953,3.6
954,-2.34
955,-1.08
956,-0.9
957,0.34
958,1.57
959,3.21
960,1.65
961,1.65
962,-0.03
963,-0.42
964,0.81
965,-0.16
966,-9.92
967,-0.71
968,1.59
969,3.26
970,0.05
971,1.59
972,-0.12
973,1.54
974,-1.72
975,2.61
976,-3.57
977,-2.42
978,-0.98
979,1.44
980,-0.23
981,2.99
982,-0.86
983,-1.96
984,0.64
985,-0.76
986,-0.42
987,1.15
988,-1.69
989,-2.4
990,3.69
991,0.71
992,-0.94
993,-1.45
994,2.33
995,-1.13
996,0.31
997,-0.68
998,-2.34
999,1.92
1000,-1.32
